"邦克山号","CG52","提康德罗加级","巡洋舰","1986年","服役","172.8","16.8","6.5","燃气动力","6000","30","9500"
"独立号","LCS2","独立级","濒海战斗舰","2010年","服役","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"辛辛那提号","LCS20","独立级","濒海战斗舰","","建造","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"堪萨斯城号","LCS22","独立级","濒海战斗舰","","建造","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"沃思堡号","LCS3","自由级","濒海战斗舰","2012年","现役","127.4","13.2","3.9","柴油+燃气动力","","45","3089"
"科罗拉多号","LCS4","独立级","濒海战斗舰","2014年","服役","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"密尔沃基号","LCS5","自由级","濒海战斗舰","2015年","现役","127.4","13.2","3.9","柴油+燃气动力","","45","3089"
"杰克逊号","LCS6","独立级","濒海战斗舰","2015年","服役","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"底特律号","LCS7","自由级","濒海战斗舰","2016年","现役","127.4","13.2","3.9","柴油+燃气动力","","45","3089"
"蒙哥马利号","LCS8","独立级","濒海战斗舰","2016年","服役","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"小石城号","LCS9","自由级","濒海战斗舰","2017年","现役","127.4","13.2","3.9","柴油+燃气动力","","45","3089"
"美利坚号","LHA6","美利坚级","两栖攻击舰","2014年","服役","257.3","32.3","","燃气动力","","22","45000"
"的黎波里号","LHA7","美利坚级","两栖攻击舰","","舾装","257.3","32.3","","燃气动力","","22","45000"
"黄蜂号","LHD1","黄蜂级","两栖攻击舰","1989年","服役","253.2","32.0","8.1","蒸汽动力","","24","41150"
"埃塞克斯号","LHD2","黄蜂级","两栖攻击舰","1992年","服役","253.2","32.0","8.1","蒸汽动力","","24","41150"
"基萨奇号","LHD3","黄蜂级","两栖攻击舰","1993年","服役","253.2","32.0","8.1","蒸汽动力","","24","41150"
"拳师号","LHD4","黄蜂级","两栖攻击舰","1995年","服役","253.2","32.0","8.1","蒸汽动力","","24","41150"
"巴丹号","LHD5","黄蜂级","两栖攻击舰","1997年","服役","253.2","32.0","8.1","蒸汽动力","","24","41150"
"博诺姆·理查德号","LHD6","黄蜂级","两栖攻击舰","1998年","服役","253.2","32.0","8.1","蒸汽动力","","24","41150"
"硫磺岛号","LHD7","黄蜂级","两栖攻击舰","2001年","服役","253.2","32.0","8.1","蒸汽动力","","24","41150"
"马金岛号","LHD8","黄蜂级","两栖攻击舰","2009年","服役","253.2","32.0","8.1","蒸汽动力","","24","41150"
"圣安东尼奥号","LPD17","圣安东尼奥级","两栖船坞运输舰","2006年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"新奥尔良号","LPD18","圣安东尼奥级","两栖船坞运输舰","2007年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"梅萨维德号","LPD19","圣安东尼奥级","两栖船坞运输舰","2007年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"绿湾号","LPD20","圣安东尼奥级","两栖船坞运输舰","2009年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"纽约号","LPD21","圣安东尼奥级","两栖船坞运输舰","2009年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"圣地亚哥号","LPD22","圣安东尼奥级","两栖船坞运输舰","2012年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"安格雷齐号","LPD23","圣安东尼奥级","两栖船坞运输舰","2013年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"阿灵顿号","LPD24","圣安东尼奥级","两栖船坞运输舰","2013年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"萨默塞特号","LPD25","圣安东尼奥级","两栖船坞运输舰","2014年","服役","208.5","31.9","7.0","柴油动力","","22","25000"
"约翰·P·默撒号","LPD26","圣安东尼奥级","两栖船坞运输舰","","舾装","208.5","31.9","7.0","柴油动力","","22","25000"
"波特兰号","LPD27","圣安东尼奥级","两栖船坞运输舰","","舾装","208.5","31.9","7.0","柴油动力","","22","25000"
"惠德贝岛号","LSD41","惠德贝岛级","船坞登陆舰","1985年","服役","185.6","25.6","6.3","柴油动力","8000","22","15939"
"日耳曼城号","LSD42","惠德贝岛级","船坞登陆舰","1986年","服役","185.6","25.6","6.3","柴油动力","8000","22","15939"
"麦克亨利堡号","LSD43","惠德贝岛级","船坞登陆舰","1987年","服役","185.6","25.6","6.3","柴油动力","8000","22","15939"
"冈斯顿厅号","LSD44","惠德贝岛级","船坞登陆舰","1989年","服役","185.6","25.6","6.3","柴油动力","8000","22","15939"
"康斯托克号","LSD45","惠德贝岛级","船坞登陆舰","1990年","服役","185.6","25.6","6.3","柴油动力","8000","22","15939"
"托尔图加号","LSD46","惠德贝岛级","船坞登陆舰","1990年","服役","185.6","25.6","6.3","柴油动力","8000","22","15939"
"拉什摩尔号","LSD47","惠德贝岛级","船坞登陆舰","1991年","服役","185.6","25.6","6.3","柴油动力","8000","22","15939"
"阿希兰号","LSD48","惠德贝岛级","船坞登陆舰","1992年","服役","185.6","25.6","6.3","柴油动力","8000","22","15939"
"哈珀斯·费里号","LSD49","哈珀斯·费里级","船坞登陆舰","1994年","服役","185.8","25.6","6.3","柴油动力","8000","22","16740"
"卡特霍尔号","LSD50","哈珀斯·费里级","船坞登陆舰","1995年","服役","185.8","25.6","6.3","柴油动力","8000","22","16740"
"奥克希尔号","LSD51","哈珀斯·费里级","船坞登陆舰","1996年","服役","185.8","25.6","6.3","柴油动力","8000","22","16740"
"珍珠港号","LSD52","哈珀斯·费里级","船坞登陆舰","1998年","服役","185.8","25.6","6.3","柴油动力","8000","22","16740"
"亨利·杰克逊号","SSBN730","俄亥俄级","战略导弹核潜艇","1984年","服役","170.7","12.8","240.0","","","25","18750"
"阿拉巴马号","SSBN731","俄亥俄级","战略导弹核潜艇","1985年","服役","170.7","12.8","240.0","","","25","18750"
"阿拉斯加号","SSBN732","俄亥俄级","战略导弹核潜艇","1986年","服役","170.7","12.8","240.0","","","25","18750"
"内华达号","SSBN733","俄亥俄级","战略导弹核潜艇","1986年","服役","170.7","12.8","240.0","","","25","18750"
"田纳西号","SSBN734","俄亥俄级","战略导弹核潜艇","1988年","服役","170.7","12.8","240.0","","","25","18750"
"宾夕法尼亚号","SSBN735","俄亥俄级","战略导弹核潜艇","1989年","服役","170.7","12.8","240.0","","","25","18750"
"西弗吉尼亚号","SSBN736","俄亥俄级","战略导弹核潜艇","1990年","服役","170.7","12.8","240.0","","","25","18750"
"肯塔基号","SSBN737","俄亥俄级","战略导弹核潜艇","1991年","服役","170.7","12.8","240.0","","","25","18750"
"马里兰号","SSBN738","俄亥俄级","战略导弹核潜艇","1992年","服役","170.7","12.8","240.0","","","25","18750"
"内布拉斯加号","SSBN739","俄亥俄级","战略导弹核潜艇","1993年","服役","170.7","12.8","240.0","","","25","18750"
"罗得岛号","SSBN740","俄亥俄级","战略导弹核潜艇","1994年","服役","170.7","12.8","240.0","","","25","18750"
"缅因号","SSBN741","俄亥俄级","战略导弹核潜艇","1995年","服役","170.7","12.8","240.0","","","25","18750"
"怀俄明号","SSBN742","俄亥俄级","战略导弹核潜艇","1996年","服役","170.7","12.8","240.0","","","25","18750"
"路易斯安那号","SSBN743","俄亥俄级","战略导弹核潜艇","1997年","服役","170.7","12.8","240.0","","","25","18750"
"俄亥俄号","SSGN726","俄亥俄级","巡航导弹核潜艇","1981年","服役","170.7","12.8","240.0","","","25","18750"
"密歇根号","SSGN727","俄亥俄级","巡航导弹核潜艇","1982年","服役","170.7","12.8","240.0","","","25","18750"
"佛罗里达号","SSGN728","俄亥俄级","巡航导弹核潜艇","1983年","服役","170.7","12.8","240.0","","","25","18750"
"佐治亚号","SSGN729","俄亥俄级","巡航导弹核潜艇","1984年","服役","170.7","12.8","240.0","","","25","18750"
"海狼号","SSN21","海狼级","攻击核潜艇","1997年","服役","107.6","12.2","610.0","","","35","9142"
"康涅狄格号","SSN22","海狼级","攻击核潜艇","1998年","服役","107.6","12.2","610.0","","","35","9142"
"吉米·卡特号","SSN23","海狼级","攻击核潜艇","2005年","服役","107.6","12.2","610.0","","","35","9142"
"布雷默顿号","SSN698","洛杉矶级","攻击核潜艇","1981年","服役","110.3","10.1","530.0","","","32","6927"
"杰克逊维尔号","SSN699","洛杉矶级","攻击核潜艇","1981年","服役","110.3","10.1","530.0","","","32","6927"
"达拉斯号","SSN700","洛杉矶级","攻击核潜艇","1981年","服役","110.3","10.1","530.0","","","32","6927"
"拉霍亚号","SSN701","洛杉矶级","攻击核潜艇","1981年","服役","110.3","10.1","530.0","","","32","6927"
"科珀斯克里斯蒂号","SSN705","洛杉矶级","攻击核潜艇","1983年","服役","110.3","10.1","530.0","","","32","6927"
"阿尔伯克基号","SSN706","洛杉矶级","攻击核潜艇","1983年","服役","110.3","10.1","530.0","","","32","6927"
"旧金山号","SSN711","洛杉矶级","攻击核潜艇","1981年","服役","110.3","10.1","530.0","","","32","6927"
"休斯敦号","SSN713","洛杉矶级","攻击核潜艇","1982年","服役","110.3","10.1","530.0","","","32","6927"
"布法罗号","SSN715","洛杉矶级","攻击核潜艇","1983年","服役","110.3","10.1","530.0","","","32","6927"
"奥林匹亚号","SSN717","洛杉矶级","攻击核潜艇","1983年","服役","110.3","10.1","530.0","","","32","6927"
"普罗维登斯号","SSN719","洛杉矶级","攻击核潜艇","1985年","服役","110.3","10.1","530.0","","","32","7100"
"匹兹堡号","SSN720","洛杉矶级","攻击核潜艇","1985年","服役","110.3","10.1","530.0","","","32","7100"
"芝加哥号","SSN721","洛杉矶级","攻击核潜艇","1986年","服役","110.3","10.1","530.0","","","32","7100"
"基韦斯特号","SSN722","洛杉矶级","攻击核潜艇","1987年","服役","110.3","10.1","530.0","","","32","7100"
"俄克拉荷马号","SSN723","洛杉矶级","攻击核潜艇","1988年","服役","110.3","10.1","530.0","","","32","7100"
"路易斯维尔号","SSN724","洛杉矶级","攻击核潜艇","1986年","服役","110.3","10.1","530.0","","","32","7100"
"海伦娜号","SSN725","洛杉矶级","攻击核潜艇","1987年","服役","110.3","10.1","530.0","","","32","7100"
"纽波特纽斯号","SSN750","洛杉矶级","攻击核潜艇","1989年","服役","110.3","10.1","530.0","","","32","7100"
"圣胡安号","SSN751","洛杉矶级","攻击核潜艇","1988年","服役","110.3","10.1","530.0","","","32","7100"
"帕萨迪纳号","SSN752","洛杉矶级","攻击核潜艇","1989年","服役","110.3","10.1","530.0","","","32","7100"
"奥尔巴尼号","SSN753","洛杉矶级","攻击核潜艇","1990年","服役","110.3","10.1","530.0","","","32","7100"
"托皮卡号","SSN754","洛杉矶级","攻击核潜艇","1989年","服役","110.3","10.1","530.0","","","32","7100"
"斯克兰顿号","SSN756","洛杉矶级","攻击核潜艇","1991年","服役","110.3","10.1","530.0","","","32","7100"
"亚历山德里亚号","SSN757","洛杉矶级","攻击核潜艇","1991年","服役","110.3","10.1","530.0","","","32","7100"
"阿什维尔号","SSN758","洛杉矶级","攻击核潜艇","1991年","服役","110.3","10.1","530.0","","","32","7100"
"杰斐逊城号","SSN759","洛杉矶级","攻击核潜艇","1992年","服役","110.3","10.1","530.0","","","32","7100"
"安纳波利斯号","SSN760","洛杉矶级","攻击核潜艇","1992年","服役","110.3","10.1","530.0","","","32","7100"
"斯普林菲尔德号","SSN761","洛杉矶级","攻击核潜艇","1993年","服役","110.3","10.1","530.0","","","32","7100"
"哥伦布号","SSN762","洛杉矶级","攻击核潜艇","1993年","服役","110.3","10.1","530.0","","","32","7100"
"圣菲号","SSN763","洛杉矶级","攻击核潜艇","1994年","服役","110.3","10.1","530.0","","","32","7100"
"博伊西号","SSN764","洛杉矶级","攻击核潜艇","1992年","服役","110.3","10.1","530.0","","","32","7100"
"蒙彼利埃号","SSN765","洛杉矶级","攻击核潜艇","1993年","服役","110.3","10.1","530.0","","","32","7100"
"夏洛特号","SSN766","洛杉矶级","攻击核潜艇","1994年","服役","110.3","10.1","530.0","","","32","7100"
"汉普顿号","SSN767","洛杉矶级","攻击核潜艇","1993年","服役","110.3","10.1","530.0","","","32","7100"
"哈特福德号","SSN768","洛杉矶级","攻击核潜艇","1994年","服役","110.3","10.1","530.0","","","32","7100"
"托莱多号","SSN769","洛杉矶级","攻击核潜艇","1995年","服役","110.3","10.1","530.0","","","32","7100"
"图森号","SSN770","洛杉矶级","攻击核潜艇","1995年","服役","110.3","10.1","530.0","","","32","7100"
"哥伦比亚号","SSN771","洛杉矶级","攻击核潜艇","1995年","服役","110.3","10.1","530.0","","","32","7100"
"格林维尔号","SSN772","洛杉矶级","攻击核潜艇","1996年","服役","110.3","10.1","530.0","","","32","7100"
"夏延号","SSN773","洛杉矶级","攻击核潜艇","1996年","服役","110.3","10.1","530.0","","","32","7100"
"弗吉尼亚号","SSN774","弗吉尼亚级","攻击核潜艇","2004年","服役","114.9","10.4","244.0","","","34","7800"
"德克萨斯号","SSN775","弗吉尼亚级","攻击核潜艇","2006年","服役","114.9","10.4","244.0","","","34","7800"
"夏威夷号","SSN776","弗吉尼亚级","攻击核潜艇","2007年","服役","114.9","10.4","244.0","","","34","7800"
"北来罗莱纳号","SSN777","弗吉尼亚级","攻击核潜艇","2008年","服役","114.9","10.4","244.0","","","34","7800"
"新罕布什尔号","SSN778","弗吉尼亚级","攻击核潜艇","2008年","服役","114.9","10.4","244.0","","","34","7800"
"新墨西哥号","SSN779","弗吉尼亚级","攻击核潜艇","2010年","服役","114.9","10.4","244.0","","","34","7800"
"密苏里号","SSN780","弗吉尼亚级","攻击核潜艇","2010年","服役","114.9","10.4","244.0","","","34","7800"
"加利福尼亚号","SSN781","弗吉尼亚级","攻击核潜艇","2011年","服役","114.9","10.4","244.0","","","34","7800"
"密西西比号","SSN782","弗吉尼亚级","攻击核潜艇","2012年","服役","114.9","10.4","244.0","","","34","7800"
"明尼苏达号","SSN783","弗吉尼亚级","攻击核潜艇","2013年","服役","114.9","10.4","244.0","","","34","7800"
"北达科他号","SSN784","弗吉尼亚级","攻击核潜艇","2013年","服役","114.9","10.4","244.0","","","34","7800"
"约翰·沃纳号","SSN785","弗吉尼亚级","攻击核潜艇","2015年","服役","114.9","10.4","244.0","","","34","7800"
"伊利诺伊号","SSN786","弗吉尼亚级","攻击核潜艇","2016年","服役","114.9","10.4","244.0","","","34","7800"
"华盛顿号","SSN787","弗吉尼亚级","攻击核潜艇","2017年","服役","114.9","10.4","244.0","","","34","7800"
"科罗拉多号","SSN788","弗吉尼亚级","攻击核潜艇","","舾装","114.9","10.4","244.0","","","34","7800"
"印第安纳号","SSN789","弗吉尼亚级","攻击核潜艇","","舾装","114.9","10.4","244.0","","","34","7800"
